dataset,coverage,accepted_count,baseline_risk,stability_risk,delta_risk,ci_low,ci_high
ICEWS14,0.2,1000,0.506,0.43899999999999995,-0.06700000000000006,-0.10361317604975624,-0.03136585076045624
ICEWS14,0.4,2000,0.565,0.5325,-0.03249999999999997,-0.05014708712085117,-0.016523353696428898
ICEWS05-15,0.2,1000,0.40700000000000003,0.32299999999999995,-0.08400000000000007,-0.10685739781749269,-0.06059996341686488
ICEWS05-15,0.4,2000,0.488,0.44099999999999995,-0.04700000000000004,-0.067758292656985,-0.030709050442735628
GDELT,0.2,1000,0.7070000000000001,0.7090000000000001,0.0020000000000000018,-0.019292791670559403,0.021216582203163786
GDELT,0.4,2000,0.7575000000000001,0.7635000000000001,0.006000000000000005,-0.0024650910640645284,0.01474172467767002
