dataset,n_entities,n_train_events,n_validation,n_test,decay_mrr,decay_hits1,decay_hits3,decay_hits10,baseline_brier,stability_brier,baseline_ece,stability_ece,baseline_aurc,stability_aurc,aurc_relative_reduction,baseline_risk@0.20,stability_risk@0.20,risk_delta@0.20,baseline_risk@0.40,stability_risk@0.40,risk_delta@0.40
ICEWS14,7128,72826,5000,5000,0.3152822972229822,0.26537472809966384,0.35258058137235515,0.4012260233339925,0.1559612792942086,0.14255090134387563,0.040522160439363776,0.015818891196789354,0.5871627438506128,0.5494049981231883,0.0643054180852982,0.5078615115600749,0.4350319933945822,-0.07282951816549266,0.5629959525744772,0.5308433174995251,-0.03215263507495214
ICEWS05-15,10488,368962,5000,5000,0.42206065956285227,0.3509501187648456,0.4679334916864608,0.5536421219319082,0.188895273478708,0.17197393169391492,0.04101537334476106,0.01893607155960119,0.5011180799219275,0.4668502173548609,0.06838281023986485,0.40391594888070587,0.3154703913897433,-0.08844555749096256,0.4850455364293788,0.42720044236277327,-0.05784509406660554
GDELT,500,2308165,5000,5000,0.2453986069927469,0.15485043794414147,0.2715253677078169,0.42951578251528677,0.11341675497830137,0.11219922003629978,0.01586369816454019,0.016044981522158663,0.7693986566655678,0.7646919562713965,0.006117375372825952,0.7077405493361206,0.7032337707105029,-0.004506778625617769,0.7586754748455363,0.7645524213799757,0.005876946534439376
