dataset,n_seeds,test_mrr,test_hits1,test_hits3,test_hits10,baseline_brier,stability_brier,baseline_ece,stability_ece,baseline_aurc,stability_aurc,baseline_risk@0.20,stability_risk@0.20,baseline_risk@0.40,stability_risk@0.40,aurc_delta,risk_delta@0.20,risk_delta@0.40
ICEWS14,3,0.3678294496069027,0.2666271175268604,0.4182980686836728,0.5709577483356404,0.16713106699315217,0.15144310467358993,0.03434934078179987,0.03604686695787596,0.5953507840359404,0.5570323934002425,0.4897271878410745,0.4202690431762262,0.6005890280896963,0.5336002424242875,-0.038318390635697974,-0.06945814466484829,-0.06698878566540878
ICEWS05-15,3,0.45458785224784887,0.325349696489839,0.5197941409342834,0.7242676167854315,0.1938924916601732,0.16278930526899202,0.024268693937093504,0.022656447753991168,0.5437266353140123,0.47014481728088375,0.43463848440674663,0.28409826336045396,0.5381747991928659,0.4375763133343158,-0.07358181803312858,-0.15054022104629267,-0.10059848585855014
