dataset,seed,n_entities,n_train_events,n_validation_available,n_validation,n_test_available,n_test,decay_mrr,decay_hits1,decay_hits3,decay_hits10,static_mrr,static_hits1,static_hits3,static_hits10,baseline_brier,stability_brier,baseline_ece,stability_ece,baseline_aurc,stability_aurc,calibration_n,operating_n,baseline_threshold@0.20,baseline_risk@0.20,baseline_coverage@0.20,baseline_brier_accepted@0.20,stability_threshold@0.20,stability_risk@0.20,stability_coverage@0.20,stability_brier_accepted@0.20,baseline_threshold@0.40,baseline_risk@0.40,baseline_coverage@0.40,baseline_brier_accepted@0.40,stability_threshold@0.40,stability_risk@0.40,stability_coverage@0.40,stability_brier_accepted@0.40,baseline_threshold@0.60,baseline_risk@0.60,baseline_coverage@0.60,baseline_brier_accepted@0.60,stability_threshold@0.60,stability_risk@0.60,stability_coverage@0.60,stability_brier_accepted@0.60,baseline_threshold@0.80,baseline_risk@0.80,baseline_coverage@0.80,baseline_brier_accepted@0.80,stability_threshold@0.80,stability_risk@0.80,stability_coverage@0.80,stability_brier_accepted@0.80,belief_only_aurc,belief_only_risk@0.40,belief_only_coverage@0.40,plus_certificate_aurc,plus_certificate_risk@0.40,plus_certificate_coverage@0.40,plus_diversity_aurc,plus_diversity_risk@0.40,plus_diversity_coverage@0.40,plus_fragility_aurc,plus_fragility_risk@0.40,plus_fragility_coverage@0.40,full_certificate_aurc,full_certificate_risk@0.40,full_certificate_coverage@0.40
GDELT,0,500,2308165,273842,5000,273432,5000,0.24539860699274693,0.15485043794414147,0.2715253677078169,0.4295157825152867,0.2007106603869666,0.1213022640885804,0.20657742521897207,0.3521731945133036,0.11342102561989142,0.11211716973456246,0.007526626753865462,0.009615982032003546,0.769322527144292,0.7653948666719254,2500,2500,0.18094991170117783,0.7073662966700303,0.1982,0.20854278873326612,0.18550865423381627,0.7093596059113301,0.203,0.20130054456763652,0.1518279109179984,0.7581602373887241,0.4044,0.18201607837003106,0.141358238918861,0.7680387409200968,0.413,0.1725982888819334,0.12329048644664747,0.8026008669556519,0.5998,0.15370201162541758,0.11601834842083103,0.797832712495767,0.5906,0.15537823580887086,0.0854928635099542,0.8327356557377049,0.7808,0.1330168271655656,0.07917697851517685,0.832994923857868,0.788,0.13140084627276952,0.793209829627816,0.7967757694186615,0.4094,0.7940789131315124,0.8061325420375866,0.4044,0.7941960670226011,0.8051307350764677,0.4054,0.7945558409184904,0.8058589870903674,0.4028,0.7653948666719254,0.7680387409200968,0.413
GDELT,1,500,2308165,273842,5000,273432,5000,0.24539860699274693,0.15485043794414147,0.2715253677078169,0.4295157825152867,0.2007106603869666,0.1213022640885804,0.20657742521897207,0.3521731945133036,0.11343010069809972,0.11212420739317618,0.021515608340369113,0.017507443689386126,0.7698214122700693,0.764940264309968,2500,2500,0.1941856613414514,0.7141491395793499,0.2092,0.20494688190479196,0.20106707001103474,0.7045454545454546,0.2024,0.2045858914385204,0.16037772296527844,0.7584053794428435,0.4164,0.1818807290203349,0.15558404249404226,0.7634408602150538,0.4092,0.1754875207904915,0.1268261142658132,0.8036303630363036,0.606,0.15301779125580708,0.12433651158184608,0.7996621621621621,0.592,0.15381664338924583,0.079155317807152,0.834956304619226,0.801,0.1315305105785617,0.07637910454819581,0.8336247814139396,0.8006,0.13110914189800657,0.793209829627816,0.7966601178781926,0.4072,0.7932944490181404,0.7971512770137524,0.4072,0.7928057837792334,0.8016940707523668,0.4014,0.7929628194398858,0.8017111222949169,0.3974,0.764940264309968,0.7634408602150538,0.4092
GDELT,2,500,2308165,273842,5000,273432,5000,0.24539860699274693,0.15485043794414147,0.2715253677078169,0.4295157825152867,0.2007106603869666,0.1213022640885804,0.20657742521897207,0.3521731945133036,0.11364108995842825,0.11230898909507321,0.015135123182262032,0.015842057470647306,0.7701437550901685,0.7660533197961444,2500,2500,0.18498069293650543,0.70703125,0.2048,0.20865190751356605,0.18999616175731351,0.7093596059113301,0.203,0.20117772526984626,0.15639737825974556,0.7607178464606181,0.4012,0.17991714981701296,0.1481345861623428,0.7656019656019656,0.407,0.1740474810166668,0.13004873948645082,0.8012820512820513,0.5928,0.15462758920704692,0.12176449702408786,0.7992552471225457,0.5908,0.15431683471873878,0.0929254225777503,0.8345123799898939,0.7916,0.13192906790308526,0.08610624752067743,0.8342957569671102,0.7966,0.1306567870751469,0.793209829627816,0.7952047952047953,0.4004,0.7936941707505788,0.8009188361408882,0.3918,0.7934907041501308,0.8076740881099005,0.4222,0.7937608304015915,0.8082778306374881,0.4204,0.7660533197961444,0.7656019656019656,0.407
GDELT,3,500,2308165,273842,5000,273432,5000,0.24539860699274693,0.15485043794414147,0.2715253677078169,0.4295157825152867,0.2007106603869666,0.1213022640885804,0.20657742521897207,0.3521731945133036,0.113111756741827,0.11179494123576901,0.026439357767581818,0.019591175002630284,0.7682654493296347,0.7621170366030443,2500,2500,0.2032565097036963,0.7040923399790137,0.1906,0.2082283948198656,0.20812669412082963,0.6990692864529473,0.1934,0.20539804592215347,0.17030555041701453,0.7557673019057172,0.3988,0.18208838376096262,0.1635783779766756,0.7632898696088265,0.3988,0.174200413263767,0.13316450586526102,0.8014705882352942,0.5984,0.1538581869117805,0.12893178317332957,0.7979591836734694,0.588,0.15430615556854244,0.0814376947370307,0.8340897629853757,0.7932,0.13171690035218303,0.07813467104064258,0.8329565435820145,0.7962,0.13116849512200848,0.793209829627816,0.7968363816114681,0.4046,0.7934047954187408,0.8000977517106549,0.4092,0.7932034527979323,0.8026249369005553,0.3962,0.7933656175977775,0.8024193548387096,0.3968,0.7621170366030443,0.7632898696088265,0.3988
GDELT,4,500,2308165,273842,5000,273432,5000,0.24539860699274693,0.15485043794414147,0.2715253677078169,0.4295157825152867,0.2007106603869666,0.1213022640885804,0.20657742521897207,0.3521731945133036,0.1134798018732605,0.11265079272291814,0.008701774778622535,0.01766824941612606,0.7694401394936746,0.7649542939759005,2500,2500,0.18232435379204937,0.7060637204522097,0.1946,0.20920747323091773,0.18563205449355444,0.6938349007314525,0.1914,0.2130773691075371,0.1531189493108909,0.7603266090297791,0.4164,0.18072618142802457,0.15112483524338202,0.7623906705539358,0.4116,0.17742900028147157,0.12564918407904374,0.8029148724743292,0.6038,0.15353670020071256,0.12444629033831255,0.8018048128342246,0.5984,0.15304190062396542,0.0846961451579774,0.8347521281922884,0.7988,0.1317014850531256,0.0838728000027858,0.8337101230846521,0.7962,0.13155210373981094,0.793209829627816,0.7952047952047953,0.4004,0.793344637235129,0.7963891675025075,0.3988,0.7921622448537137,0.8005089058524173,0.393,0.7921701247153162,0.8017068273092369,0.3984,0.7649542939759005,0.7623906705539358,0.4116
