dataset,seed,n_entities,n_train_events,n_validation_available,n_validation,n_test_available,n_test,decay_mrr,decay_hits1,decay_hits3,decay_hits10,static_mrr,static_hits1,static_hits3,static_hits10,baseline_brier,stability_brier,baseline_ece,stability_ece,baseline_aurc,stability_aurc,calibration_n,operating_n,baseline_threshold@0.20,baseline_risk@0.20,baseline_coverage@0.20,baseline_brier_accepted@0.20,stability_threshold@0.20,stability_risk@0.20,stability_coverage@0.20,stability_brier_accepted@0.20,baseline_threshold@0.40,baseline_risk@0.40,baseline_coverage@0.40,baseline_brier_accepted@0.40,stability_threshold@0.40,stability_risk@0.40,stability_coverage@0.40,stability_brier_accepted@0.40,baseline_threshold@0.60,baseline_risk@0.60,baseline_coverage@0.60,baseline_brier_accepted@0.60,stability_threshold@0.60,stability_risk@0.60,stability_coverage@0.60,stability_brier_accepted@0.60,baseline_threshold@0.80,baseline_risk@0.80,baseline_coverage@0.80,baseline_brier_accepted@0.80,stability_threshold@0.80,stability_risk@0.80,stability_coverage@0.80,stability_brier_accepted@0.80,belief_only_aurc,belief_only_risk@0.40,belief_only_coverage@0.40,plus_certificate_aurc,plus_certificate_risk@0.40,plus_certificate_coverage@0.40,plus_diversity_aurc,plus_diversity_risk@0.40,plus_diversity_coverage@0.40,plus_fragility_aurc,plus_fragility_risk@0.40,plus_fragility_coverage@0.40,full_certificate_aurc,full_certificate_risk@0.40,full_certificate_coverage@0.40
ICEWS05-15,0,10488,368962,45829,5000,45644,5000,0.4220606595628522,0.3509501187648456,0.4679334916864608,0.5536421219319082,0.3979831193829124,0.3161124307205067,0.4398258115597783,0.5411718131433095,0.1889826503557975,0.17207146123645767,0.034086226632855335,0.017635975231300317,0.5021423853687413,0.46686309810477705,2500,2500,0.46786049512399636,0.4041666666666667,0.192,0.23693481999425683,0.5304183340135126,0.31837606837606836,0.1872,0.21509066735039206,0.34118419924751847,0.4860335195530726,0.3938,0.24229773840883792,0.34662161285331894,0.43460350154479915,0.3884,0.22950888761849894,0.25913612208431697,0.5429941760877013,0.5838,0.2362279634194176,0.261591265320566,0.5253487580809799,0.5878,0.22203785248662525,0.15667843040948226,0.5968479918657854,0.7868,0.22428368595905815,0.1598467971599865,0.5968237704918032,0.7808,0.20433082324689308,0.4959560438453623,0.46165966386554624,0.3808,0.47886760776230586,0.44049459041731065,0.3882,0.4800211655508725,0.4345818368394048,0.3898,0.48491467974574526,0.4340687532067727,0.3898,0.46686309810477705,0.43460350154479915,0.3884
ICEWS05-15,1,10488,368962,45829,5000,45644,5000,0.4220606595628522,0.3509501187648456,0.4679334916864608,0.5536421219319082,0.3979831193829124,0.3161124307205067,0.4398258115597783,0.5411718131433095,0.18875320945270446,0.17165721076846413,0.044893184618302634,0.01843184170564748,0.5009485486525528,0.4664004823041734,2500,2500,0.4856630287506547,0.40796555435952636,0.1858,0.23843052593744296,0.5386573197363134,0.3118279569892473,0.186,0.2151186361531925,0.3351940818048672,0.48408624229979463,0.3896,0.24379295480099267,0.34474020126257104,0.42930591259640105,0.389,0.2309210828672493,0.2574193391185013,0.5354816592389441,0.5834,0.2404809773095378,0.24757678133456615,0.5324718356527501,0.6036,0.21996138886015976,0.15730978224562264,0.6009507130347761,0.7994,0.22235022281751443,0.14199047620719085,0.6013039117352056,0.7976,0.20281006295697146,0.49598574166953374,0.46198217094913474,0.3814,0.4787256213995674,0.4403061224489796,0.392,0.4784426008169001,0.4465473145780051,0.391,0.4847477439781552,0.43778337531486144,0.397,0.4664004823041734,0.42930591259640105,0.389
ICEWS05-15,2,10488,368962,45829,5000,45644,5000,0.4220606595628522,0.3509501187648456,0.4679334916864608,0.5536421219319082,0.3979831193829124,0.3161124307205067,0.4398258115597783,0.5411718131433095,0.18880729598150248,0.1720856099042176,0.040774582043739974,0.01891395176359441,0.5005074778335453,0.46678961561402366,2500,2500,0.4944809431389693,0.4011173184357542,0.179,0.2386632488428027,0.5461578725175923,0.31446540880503143,0.1908,0.2157342257245056,0.3413991462415956,0.4869831546707504,0.3918,0.24268906575508925,0.36767513481406605,0.421474358974359,0.3744,0.2307343362416057,0.2624661414096094,0.5379048931771192,0.5804,0.23857779848144028,0.2614705846868487,0.5268524813052345,0.5884,0.2213078381319921,0.16378076288077173,0.593693924634709,0.7802,0.2254853732244148,0.14808076403077033,0.5994411988823978,0.7874,0.20330876294768827,0.49596409956561577,0.45879851143009037,0.3762,0.4792193021374248,0.4418848167539267,0.382,0.4826386845460058,0.42735949098621423,0.3772,0.4850200695027757,0.4266666666666667,0.375,0.46678961561402366,0.421474358974359,0.3744
ICEWS05-15,3,10488,368962,45829,5000,45644,5000,0.4220606595628522,0.3509501187648456,0.4679334916864608,0.5536421219319082,0.3979831193829124,0.3161124307205067,0.4398258115597783,0.5411718131433095,0.18878815818264622,0.17155991679654328,0.037086279913558395,0.01804513311760823,0.5024755231802333,0.46675113297885445,2500,2500,0.4981320493502826,0.4043478260869565,0.184,0.23854938414355542,0.5500784372602062,0.31851851851851853,0.189,0.2158782268176191,0.35638688456375556,0.4830917874396135,0.3726,0.24260631053951587,0.3738126765247454,0.4209390178089584,0.3706,0.2302317073750636,0.2705380862579686,0.5346638655462185,0.5712,0.23965712244680326,0.25600288248050723,0.5169315825846579,0.5788,0.22429698112236474,0.15409201685276602,0.5994962216624685,0.794,0.2230372085438469,0.1473431199632094,0.5976075337235938,0.7858,0.20370578529758657,0.49596409964149113,0.45066518847006654,0.3608,0.47854891643304326,0.44972972972972974,0.37,0.4805416725535837,0.4479613733905579,0.3728,0.48407500025145017,0.42606382978723406,0.376,0.46675113297885445,0.4209390178089584,0.3706
ICEWS05-15,4,10488,368962,45829,5000,45644,5000,0.4220606595628522,0.3509501187648456,0.4679334916864608,0.5536421219319082,0.3979831193829124,0.3161124307205067,0.4398258115597783,0.5411718131433095,0.18914505342088928,0.17249545976389205,0.048236593515348994,0.021653455979855508,0.49951646457456444,0.46744675777247574,2500,2500,0.46261924788164005,0.40198237885462557,0.1816,0.23689344487517464,0.5259663845237146,0.3141640042598509,0.1878,0.2150131923217084,0.3175437746186573,0.4850329781836631,0.3942,0.24382100123540104,0.3303309460463193,0.4296794208893485,0.3868,0.23050823172661977,0.24518988932658872,0.5379897785349234,0.587,0.23995818310398498,0.2242493995570533,0.538587311968607,0.6116,0.218815369147177,0.1551985597762195,0.6015469061876247,0.8016,0.22259586959397773,0.12331686664290996,0.6021989005497251,0.8004,0.20347452226259805,0.49595618354287146,0.46542827657378744,0.3876,0.4786795756835829,0.4409044193216855,0.3892,0.48050489991351825,0.4336099585062241,0.3856,0.48475359923475964,0.43184183142559834,0.3844,0.46744675777247574,0.4296794208893485,0.3868
