dataset,contrast,delta_aurc,ci_low,ci_high
ICEWS14,full_original - matched_base,-0.03333262865714248,-0.04131821143209272,-0.025850605793521633
ICEWS14,full_original - base_plus_z,0.003138096168538107,-0.0005637313543994076,0.006810982122545245
ICEWS14,full_original - base_plus_fd,-0.017191765399470205,-0.021675222949312435,-0.012613921006430072
ICEWS14,full_original - without_diversity,0.00013816282085754583,-0.002982076928772301,0.0035389824027224123
ICEWS14,full_original - without_fragility,0.004365142642248965,0.002576176299783753,0.006210848857355194
ICEWS14,full_original - nonredundant,0.001374775130194128,0.0009227918221664689,0.0017821234058222556
ICEWS14,full_original - base_plus_softmax_entropy,-0.027433007738864035,-0.0347356706368531,-0.020515241822220424
