epoch,loss,seconds,nonfinite_gradient_values,validation_mrr
1,7.534743556075889,17.819696399994427,24,
2,4.773080038977865,16.492354400004842,50,
3,3.3176925949134604,15.371761000002152,36,0.5859259782817725
4,2.3946079973288867,15.292635599995265,36,
5,1.8419018181429803,15.750386400002753,36,
6,1.547026927965572,15.552128199997242,36,0.6598787012643185
7,1.3868653106567668,15.928403199999593,36,
8,1.2919201710149968,15.602014100004453,36,
9,1.230560719745906,15.68051339998783,36,0.6805652139787332
10,1.1877724287900353,15.657279000006383,36,
11,1.1562487974440037,15.72484959999565,36,
12,1.1320348056104612,15.670261099992786,41,0.6898333419938306
13,1.1125409427478923,15.550771800000803,72,
14,1.0964332630642624,15.773299199994653,72,
15,1.0828614103939127,15.909959199998411,72,0.6987428897533164
16,1.0711927767217404,16.007860400000936,72,
17,1.0610937031852847,15.713846200000262,72,
18,1.0520714952699977,15.766084799994132,72,0.7029705128117811
19,1.044078503487756,15.811153399990872,72,
20,1.0368949375270968,15.767532700003358,47,
21,1.0304339260335147,15.966382100014016,36,0.7042833036289815
22,1.02445055175868,15.758458700001938,36,
23,1.0189761308844159,15.505782199994428,36,
24,1.0139357722968103,15.752925200009486,36,0.7040951368021775
25,1.0091545189876943,16.272106599994004,36,
26,1.0048705771443898,15.516740799997933,36,
27,1.0007234942833503,15.540897499988205,36,0.7087114986930807
28,0.9968683622009958,15.43342990000383,36,
29,0.9931605861347594,15.546966499998234,36,
30,0.9898497013482227,15.456977699999698,36,0.7079316589913877
31,0.9865275115119273,15.532761599999503,36,
32,0.9836099957966704,15.540069700000458,36,
33,0.9805730052104716,15.359985300005064,36,0.7068185305820079
34,0.9778058097591882,15.280742800008738,36,
35,0.975142022640694,15.633585399991716,36,
36,0.9726057330591619,15.146987199987052,36,0.7082483934565319
