epoch,loss,seconds,nonfinite_gradient_values,validation_mrr
1,8.771174445859392,30.404900699999416,40,
2,6.169732887137837,31.41234570000961,246,0.3260297428257137
3,5.130239740340966,32.10359250000329,246,
4,4.3288217237585656,32.55447049999202,246,0.5025310381453713
5,3.8825500504653054,32.19741810001142,246,
6,3.5869965853605725,32.41620859999966,246,0.546652896021854
7,3.356832336938368,32.56781249999767,246,
8,3.1646716956483423,32.74563659999694,246,0.5820111470894325
9,2.9989625578603687,33.19106870000542,246,
10,2.853637238580815,33.49456880000071,246,0.6058726100001179
11,2.7248441447309903,33.622104399997625,246,
12,2.6099786929261866,33.42984450000222,228,0.6222103173500049
13,2.506925128835735,33.372799600008875,123,
14,2.4139719273005085,33.6782389,123,0.6313778676468285
15,2.3297443078313957,34.05971950000094,123,
16,2.2530043597954954,34.64041799999541,123,0.6397527060273858
17,2.18284466649679,33.66014350000478,123,
18,2.1183810345162355,33.20505879999837,123,0.6469552113627907
19,2.0589212561500707,32.67866380000487,123,
20,2.0038999293726607,33.97571760001301,123,0.6548812220826559
21,1.9527657596696684,34.07290310000826,123,
22,1.9051557139173092,34.39728830000968,123,0.6652383540589881
23,1.860676492286868,33.10578820000228,123,
24,1.8190638747736538,34.64541689999169,123,0.6706716254936798
