epoch,loss,seconds,nonfinite_gradient_values,validation_mrr
1,7.543449134201755,17.252049999995506,22,
2,4.757897731790539,19.439430300000822,46,
3,3.305071234221814,19.388416000001598,36,0.5835389730656075
4,2.385800866206188,19.808819500001846,37,
5,1.8349856980286365,19.26870479999343,36,
6,1.5415241378339675,19.415181299991673,36,0.6556045235321049
7,1.3828020454536696,16.67074830000638,35,
8,1.2888792645151095,14.692888200006564,0,
9,1.2282602355103902,14.755671300008544,0,0.6759772499656821
10,1.1858288564864816,14.648117599994293,0,
11,1.15487811520417,14.881256199994823,0,
12,1.130726650569635,14.804405999995652,0,0.6835340708967362
13,1.111533825502188,14.728464900006657,0,
14,1.0955316001082385,14.768915000007837,0,
15,1.082196104042978,14.722318699990865,0,0.692074229841738
16,1.0705820332021867,14.785435199999483,0,
17,1.0605112623173811,14.762399399987771,0,
18,1.0517012057431274,14.855323700001463,0,0.6945268338644671
19,1.0437183399671606,14.755506299989065,0,
20,1.0364532285241717,14.942880300004617,0,
21,1.0300241420201768,14.675933599995915,0,0.6966344479544057
22,1.0241810625270522,14.652139400001033,0,
23,1.0186388220334084,14.71383799999603,0,
24,1.0136440501512824,14.75694079999812,0,0.6967412483010547
25,1.0089652845153891,14.63844350000727,0,
26,1.0046120225798834,14.542708799999673,0,
27,1.0004886966933755,14.452099399990402,0,0.6975109612923924
28,0.99673563826825,14.599655999991228,0,
29,0.9931092421866365,14.514516700000968,0,
30,0.9897798150569111,14.503957499997341,0,0.7003432535683427
31,0.9864818973358974,14.632397699999274,0,
32,0.9833678385709389,14.652962799998932,0,
33,0.9805701943226681,14.78278720000526,0,0.7002720587263602
34,0.9778244038433269,14.372974500001874,0,
35,0.9751474217545756,14.847268199999235,0,
36,0.9726769816979237,14.310338899987983,0,0.7020535193481858
