selector,aurc,brier,ece,exact_risk20,threshold20,deployed_risk20,deployed_coverage20,exact_risk40,threshold40,deployed_risk40,deployed_coverage40,dataset,model,seed,checkpoint_epoch,mrr,hits1,hits3,hits10
temperature,0.32852546941494054,0.2094919899590383,0.07011833835656864,0.21899999999999997,0.9038182559342787,0.1788756388415673,0.1174,0.30100000000000005,0.6689491915416186,0.28663793103448276,0.3712,ICEWS14,TeRDy,0,12,0.6571286971726925,0.5697053589084438,0.7150484476962626,0.8170852283962824
Calibrated score,0.31417693100408545,0.1981549105449613,0.03846757051183635,0.18799999999999994,0.8619441813699035,0.15368421052631578,0.095,0.27549999999999997,0.6540725669728323,0.23348017621145375,0.3178,ICEWS14,TeRDy,0,12,0.6571286971726925,0.5697053589084438,0.7150484476962626,0.8170852283962824
Entropy,0.3620540061475412,0.2194844314005033,0.03324852978208481,0.274,0.6699592649653118,0.22096317280453256,0.1412,0.363,0.5653092259966407,0.3760523854069224,0.4276,ICEWS14,TeRDy,0,12,0.6571286971726925,0.5697053589084438,0.7150484476962626,0.8170852283962824
StableKG,0.28964544921805135,0.18674551861014752,0.040165436562381356,0.15300000000000002,0.8707582466191754,0.0974264705882353,0.1088,0.242,0.6864547842773828,0.20759493670886076,0.316,ICEWS14,TeRDy,0,12,0.6571286971726925,0.5697053589084438,0.7150484476962626,0.8170852283962824
