dataset,kind,batch,repeat,n_keys,events,max_abs_error,discrete_mismatches,process_rss_mb,incremental_elapsed_ms,incremental_write_lookup_ms,incremental_refresh_ms,incremental_refreshed,incremental_affected,full_elapsed_ms,full_write_lookup_ms,full_refresh_ms,full_refreshed,full_affected
ICEWS14,insert,1000,4,21667,78936,1.1102230246251565e-16,0,168.33984375,9.6628,2.1216,7.5412,817,817,141.5498,2.7896,138.7602,21667,817
ICEWS14,insert,1000,5,21667,79936,5.551115123125783e-17,0,168.62109375,9.7384,2.2319,7.5065,854,854,141.1196,2.4426,138.677,21667,854
ICEWS14,insert,1000,6,21667,80936,5.551115123125783e-17,0,169.109375,8.2673,2.2352,6.0321,841,841,179.8788,2.1781,177.7007,21667,841
ICEWS14,insert,1000,7,21667,81936,5.551115123125783e-17,0,167.921875,9.345,2.7317,6.6133,846,846,137.6278,2.7049,134.9229,21667,846
ICEWS14,insert,1000,8,21667,82936,5.551115123125783e-17,0,169.5078125,9.4592,1.8003,7.6589,835,835,131.5531,2.1552,129.3979,21667,835
ICEWS14,insert,1000,9,21667,83936,5.551115123125783e-17,0,169.68359375,9.827,2.1382,7.6888,855,855,125.5264,2.1763,123.3501,21667,855
ICEWS14,delete,1,0,21667,83935,5.551115123125783e-17,0,169.65625,0.1105,0.0142,0.0963,1,1,124.2746,0.0129,124.2617,21667,1
ICEWS14,delete,1,1,21667,83934,5.551115123125783e-17,0,169.84375,0.1479,0.0222,0.1257,1,1,124.7673,0.0152,124.7521,21667,1
ICEWS14,delete,1,2,21667,83933,5.551115123125783e-17,0,169.66015625,0.0931,0.013,0.0801,1,1,170.3625,0.008,170.3545,21667,1
ICEWS14,delete,1,3,21667,83932,5.551115123125783e-17,0,169.84375,0.1276,0.0195,0.1081,1,1,123.9163,0.0177,123.8986,21667,1
ICEWS14,delete,1,4,21667,83931,5.551115123125783e-17,0,168.4375,0.0937,0.0112,0.0825,1,1,122.3729,0.0064,122.3665,21667,1
ICEWS14,delete,1,5,21667,83930,5.551115123125783e-17,0,169.59765625,0.1208,0.0195,0.1013,1,1,124.2934,0.0156,124.2778,21667,1
ICEWS14,delete,1,6,21667,83929,8.326672684688674e-17,0,169.609375,0.0817,0.0102,0.0715,1,1,119.7878,0.0066,119.7812,21667,1
ICEWS14,delete,1,7,21667,83928,8.326672684688674e-17,0,169.59765625,0.1835,0.0253,0.1582,1,1,122.8416,0.0152,122.8264,21667,1
ICEWS14,delete,1,8,21667,83927,8.326672684688674e-17,0,169.58984375,0.1188,0.0128,0.106,1,1,172.5174,0.0079,172.5095,21667,1
ICEWS14,delete,1,9,21667,83926,8.326672684688674e-17,0,169.59765625,0.1818,0.0258,0.156,1,1,129.6306,0.025,129.6056,21667,1
ICEWS14,delete,10,0,21667,83916,1.1102230246251565e-16,0,168.2109375,0.2972,0.043,0.2542,10,10,127.2985,0.0428,127.2557,21667,10
ICEWS14,delete,10,1,21667,83906,1.1102230246251565e-16,0,169.6015625,0.2429,0.0617,0.1812,10,10,125.117,0.0519,125.0651,21667,10
ICEWS14,delete,10,2,21667,83896,1.1102230246251565e-16,0,169.6015625,0.2448,0.0439,0.2009,10,10,122.6627,0.0395,122.6232,21667,10
ICEWS14,delete,10,3,21667,83886,1.1102230246251565e-16,0,169.60546875,0.2559,0.0649,0.191,10,10,121.39,0.0473,121.3427,21667,10
ICEWS14,delete,10,4,21667,83876,1.1102230246251565e-16,0,169.33984375,0.2491,0.0394,0.2097,9,9,173.7444,0.0384,173.706,21667,9
ICEWS14,delete,10,5,21667,83866,1.1102230246251565e-16,0,169.40625,0.2909,0.067,0.2239,10,10,129.2516,0.0711,129.1805,21667,10
