dataset,n_seeds,n_entities,n_train_events,n_validation,n_test,decay_mrr,decay_mrr_lo,decay_mrr_hi,decay_hits1,decay_hits1_lo,decay_hits1_hi,decay_hits3,decay_hits3_lo,decay_hits3_hi,decay_hits10,decay_hits10_lo,decay_hits10_hi,baseline_ece,baseline_ece_lo,baseline_ece_hi,stability_ece,stability_ece_lo,stability_ece_hi,baseline_aurc,baseline_aurc_lo,baseline_aurc_hi,stability_aurc,stability_aurc_lo,stability_aurc_hi,baseline_risk@0.20,baseline_risk@0.20_lo,baseline_risk@0.20_hi,baseline_coverage@0.20,baseline_coverage@0.20_lo,baseline_coverage@0.20_hi,baseline_brier@0.20,baseline_brier@0.20_lo,baseline_brier@0.20_hi,stability_risk@0.20,stability_risk@0.20_lo,stability_risk@0.20_hi,stability_coverage@0.20,stability_coverage@0.20_lo,stability_coverage@0.20_hi,stability_brier@0.20,stability_brier@0.20_lo,stability_brier@0.20_hi,baseline_risk@0.40,baseline_risk@0.40_lo,baseline_risk@0.40_hi,baseline_coverage@0.40,baseline_coverage@0.40_lo,baseline_coverage@0.40_hi,baseline_brier@0.40,baseline_brier@0.40_lo,baseline_brier@0.40_hi,stability_risk@0.40,stability_risk@0.40_lo,stability_risk@0.40_hi,stability_coverage@0.40,stability_coverage@0.40_lo,stability_coverage@0.40_hi,stability_brier@0.40,stability_brier@0.40_lo,stability_brier@0.40_hi,baseline_risk@0.60,baseline_risk@0.60_lo,baseline_risk@0.60_hi,baseline_coverage@0.60,baseline_coverage@0.60_lo,baseline_coverage@0.60_hi,baseline_brier@0.60,baseline_brier@0.60_lo,baseline_brier@0.60_hi,stability_risk@0.60,stability_risk@0.60_lo,stability_risk@0.60_hi,stability_coverage@0.60,stability_coverage@0.60_lo,stability_coverage@0.60_hi,stability_brier@0.60,stability_brier@0.60_lo,stability_brier@0.60_hi,baseline_risk@0.80,baseline_risk@0.80_lo,baseline_risk@0.80_hi,baseline_coverage@0.80,baseline_coverage@0.80_lo,baseline_coverage@0.80_hi,baseline_brier@0.80,baseline_brier@0.80_lo,baseline_brier@0.80_hi,stability_risk@0.80,stability_risk@0.80_lo,stability_risk@0.80_hi,stability_coverage@0.80,stability_coverage@0.80_lo,stability_coverage@0.80_hi,stability_brier@0.80,stability_brier@0.80_lo,stability_brier@0.80_hi
GDELT,3,500.0,2308165.0,5000.0,5000.0,0.32768406928776156,0.32768406928776156,0.32768406928776156,0.231,0.231,0.231,0.36179999999999995,0.3617999999999999,0.3618,0.5268,0.5268,0.5268,0.045591647013742194,0.039872745506354584,0.0513105485211298,0.04450650049960137,0.037027206814423196,0.05198579418477955,0.7252553462230154,0.7251914358809601,0.7253192565650706,0.7238175168072125,0.7233277630174317,0.7243072705969933,0.7059783443964353,0.7057817395996893,0.7061749491931812,0.41040000000000004,0.40666055833044557,0.4141394416695545,0.2233123319555327,0.21864271267376764,0.22798195123729778,0.703786535067357,0.7009932799663162,0.7065797901683978,0.4028666666666667,0.3910972334130597,0.4146360999202737,0.2253315671760812,0.22114833847699183,0.22951479587517054,0.7381643854724563,0.7370881753239399,0.7392405956209728,0.5718666666666667,0.5685921693854884,0.5751411639478451,0.20194955241402748,0.1983420707570993,0.20555703407095566,0.7414323757528626,0.7393061310854184,0.7435586204203067,0.5768,0.5685866878788153,0.5850133121211847,0.2001094876856678,0.19482444103010507,0.20539453434123053,0.7662890861108252,0.7648624526825473,0.7677157195391032,0.7242666666666665,0.7202159999999999,0.7283173333333332,0.18295094642241896,0.17942046439612078,0.18648142844871715,0.766494577815762,0.7654375283072639,0.7675516273242602,0.7303333333333333,0.7231395429246235,0.7375271237420431,0.1831920849773531,0.1793006526635865,0.1870835172911197,0.7928326883592972,0.7923448063513036,0.7933205703672909,0.8762666666666666,0.8737634534427393,0.878769879890594,0.16408686169699058,0.16163027782630754,0.16654344556767361,0.7931741573160345,0.7930200326670874,0.7933282819649815,0.8770666666666666,0.8764133333333333,0.8777199999999998,0.1640641534169892,0.16122732069244963,0.1669009861415288
ICEWS05_15,5,10488.0,368962.0,5000.0,5000.0,0.4673885685873963,0.46738856858739625,0.46738856858739636,0.3536,0.3536,0.3536,0.5414,0.5414,0.5414,0.6846,0.6846,0.6846,0.04735170338781691,0.04336052764818761,0.051342879127446214,0.04094839669810561,0.03736544466095322,0.044531348735258006,0.6204508813159346,0.6189024789315415,0.6219992837003278,0.5823084944982135,0.5807296862981619,0.5838873026982652,0.5646269210648449,0.5607380666715827,0.5685157754581072,0.12840000000000001,0.122568547076414,0.13423145292358604,0.2504552273344887,0.2494125492579168,0.2514979054110606,0.46602921285660115,0.4564108948138814,0.4756475308993209,0.12496,0.11619601610225122,0.13372398389774878,0.2466374035449992,0.24441818284167544,0.24885662424832294,0.6052141989626847,0.6035922371866376,0.6068361607387318,0.31684,0.3112501844610041,0.3224298155389959,0.24097549745397914,0.2403295247759536,0.2416214701320047,0.5679359325078346,0.5657972360149971,0.5700746290006721,0.3458,0.3413563726528882,0.3502436273471118,0.23938319327626534,0.2382676538009038,0.24049873275162686,0.6260123862077835,0.6225016227201625,0.6295231496954046,0.53896,0.5364548776956005,0.5414651223043995,0.23684727689438648,0.2355338622284796,0.23816069156029335,0.6131547255034151,0.610969020984504,0.6153404300223262,0.5568,0.5531436674111891,0.5604563325888108,0.2323672265971914,0.23112316337061087,0.2336112898237719,0.6547953719567567,0.6535475061409965,0.6560432377725169,0.77392,0.768188750865649,0.7796512491343511,0.2265767584669692,0.2258893993141904,0.22726411761974802,0.650885618666499,0.6494896541370795,0.6522815831959184,0.7704000000000001,0.7645659125820743,0.7762340874179259,0.22066146182066956,0.219441986503663,0.22188093713767612
ICEWS14,5,7128.0,72826.0,5000.0,5000.0,0.3866628097228773,0.3866628097228773,0.3866628097228773,0.3216,0.3216,0.3216,0.4324,0.4324,0.4324,0.5014,0.5014,0.5014,0.04054720998490026,0.03922646166953868,0.04186795830026184,0.02844131785433625,0.01809399067052546,0.038788645038147045,0.5575019971204341,0.5559451389543362,0.5590588552865321,0.5304596485805937,0.5295995530949348,0.5313197440662526,0.46243934322331015,0.45728072978388984,0.46759795666273046,0.19612000000000002,0.1906339603501251,0.20160603964987495,0.24467183802125664,0.24412720100356486,0.24521647503894842,0.4123561203085325,0.40780378060097955,0.4169084600160855,0.1936,0.19045177383277503,0.19674822616722495,0.2363190850653336,0.235297515766625,0.23734065436404223,0.551187735749152,0.5463894177614408,0.5559860537368633,0.37932,0.37047034496491527,0.3881696550350847,0.2369159836875571,0.2350850482843081,0.2387469190908061,0.5131239776967323,0.501320221574809,0.5249277338186557,0.38180000000000003,0.37601351699216184,0.3875864830078382,0.23546311157597416,0.23121141550503724,0.23971480764691108,0.588150131077375,0.5857546088332111,0.590545653321539,0.5725999999999999,0.5616892942116468,0.583510705788353,0.23321669728076572,0.2319556876635997,0.23447770689793174,0.5836530340630419,0.5804242738786801,0.5868817942474037,0.578,0.5709200849722613,0.5850799150277386,0.22295339265036493,0.22096427424470017,0.2249425110560297,0.6392757696118603,0.638215040225071,0.6403364989986495,0.77612,0.7704169725373272,0.7818230274626728,0.2167434258930813,0.2159325902372177,0.2175542615489449,0.6393988804162503,0.6381391010935437,0.6406586597389569,0.7780400000000001,0.7748689162483468,0.7812110837516534,0.20703034568617515,0.20599757880855996,0.20806311256379034
