seed,n_interventions,flip_rate,low_certificate_flip_rate,high_certificate_flip_rate,certificate_flip_corr,full_nodes,incremental_nodes,node_reduction
0.0,9472.0,0.06102195945945946,0.09347750261597489,0.011235955056179775,0.19578492319043067,220.0,5.122222222222222,0.9767171717171718
1.0,9458.0,0.07179107633749207,0.10569253081943437,0.0243531202435312,0.18142907863865185,220.0,5.822222222222222,0.9735353535353536
2.0,9397.0,0.07736511652655102,0.11483757682177348,0.019719070772555376,0.19079604998306793,220.0,6.0,0.9727272727272728
3.0,9465.0,0.06899101954569467,0.10889427559201939,0.01682106289614822,0.2049415802866958,220.0,5.1,0.9768181818181818
4.0,9465.0,0.06582144743792921,0.09455735446090252,0.02022410494670675,0.17533979353438417,220.0,6.333333333333333,0.9712121212121212
5.0,9481.0,0.06992933234890834,0.10231193926846101,0.018995929443690638,0.18785513677126395,220.0,5.2,0.9763636363636363
6.0,9472.0,0.06651182432432433,0.10173160173160173,0.01680244399185336,0.1998838334444044,220.0,5.722222222222222,0.973989898989899
7.0,9473.0,0.06935500897287027,0.10358992677263797,0.01987609705730511,0.18828930447691264,220.0,5.933333333333334,0.973030303030303
8.0,9367.0,0.0680046973417316,0.10250276039749724,0.020340706839562676,0.16815496272560718,220.0,5.511111111111111,0.9749494949494949
9.0,9401.0,0.07701308371449846,0.12175873731679819,0.018632017651385144,0.22041472394815598,220.0,5.533333333333333,0.9748484848484849
10.0,9479.0,0.06604072159510496,0.10146235782632244,0.016243654822335026,0.18914320414832547,220.0,5.033333333333333,0.9771212121212122
11.0,9430.0,0.07380699893955461,0.11761497909471005,0.012471366759989819,0.21497888488476982,220.0,5.511111111111111,0.9749494949494949
12.0,9335.0,0.06577396893411891,0.10224299065420561,0.016813048933500628,0.18981102177104134,220.0,5.866666666666666,0.9733333333333334
13.0,9430.0,0.07104984093319194,0.11109090909090909,0.015012722646310433,0.2104770507834953,220.0,5.8,0.9736363636363636
14.0,9496.0,0.06581718618365627,0.10271631588415182,0.013716027432054865,0.19448620515414242,220.0,5.111111111111111,0.9767676767676767
15.0,9440.0,0.07139830508474576,0.10688665710186514,0.020186335403726708,0.17043424651534567,220.0,5.488888888888889,0.9750505050505051
16.0,9301.0,0.06526179980647243,0.09682596291012839,0.017330083942594096,0.1810689140165871,220.0,5.388888888888889,0.9755050505050505
17.0,9479.0,0.06540774343285156,0.09911971830985916,0.015003948407475652,0.18774844344919076,220.0,5.455555555555556,0.9752020202020202
18.0,9533.0,0.06703031574530578,0.10304363769710305,0.018877175778377053,0.18059944161496833,220.0,5.944444444444445,0.972979797979798
19.0,9403.0,0.07242369456556418,0.11030709495234733,0.014985282312014986,0.20041891512857618,220.0,5.344444444444444,0.9757070707070707
