seed,static_risk,static_coverage,static_brier,static_ece,static_aurc,static_work,global_decay_risk,global_decay_coverage,global_decay_brier,global_decay_ece,global_decay_aurc,global_decay_work,stability_aware_risk,stability_aware_coverage,stability_aware_brier,stability_aware_ece,stability_aware_aurc,stability_aware_work
0.0,0.15311756602655585,0.9517283950617283,0.15804926203015177,0.16461509321705597,0.10428043269738571,220.0,0.095129051986579,0.9171604938271606,0.10363154373530294,0.11391073180268285,0.04811027365267794,220.0,0.024814814814814814,0.016666666666666666,0.08471608983728254,0.09655630213455328,0.039013561285153174,5.655555555555556
1.0,0.17134669693061175,0.9345679012345679,0.17803287058095987,0.1840559494876707,0.11635065811707843,220.0,0.11639093994339089,0.9066666666666666,0.1250273846969347,0.13398565393889067,0.062285774124001235,220.0,0.03425925925925925,0.016049382716049384,0.10530608337213354,0.11612423503597892,0.05501993222501583,5.7555555555555555
2.0,0.1555387153698714,0.9413580246913581,0.16314687598340427,0.16908756624170992,0.09224725913519462,220.0,0.09974347526635521,0.9022222222222224,0.11097819513334543,0.120343696568372,0.04655956895788237,220.0,0.0,0.014938271604938273,0.0985905168849797,0.11027228226252793,0.045267615322009166,5.977777777777778
3.0,0.16104933286140102,0.9432098765432099,0.16671098354337946,0.17135818097465175,0.10019515272916127,220.0,0.10430858715902867,0.9158024691358025,0.11232774528149293,0.11939212167763803,0.05278568178192429,220.0,0.018888888888888886,0.019259259259259257,0.09626788585452144,0.10466722631239861,0.04681174195482074,5.733333333333333
4.0,0.22082429703800774,0.9254320987654323,0.22473831777041794,0.22776449853733816,0.12936838310306145,220.0,0.13263123150967995,0.8928395061728395,0.1394449572851564,0.14553349121911124,0.06872689841336281,220.0,0.0077777777777777776,0.015185185185185185,0.11608315496942523,0.12430467287122338,0.06154320840358782,5.2555555555555555
5.0,0.17589115422718543,0.9274074074074076,0.17949715478483147,0.18521642647506387,0.0933421811287564,220.0,0.10812850936070034,0.8969135802469135,0.11824480205212963,0.12576494040260872,0.05278074958624942,220.0,0.002777777777777778,0.015925925925925923,0.10494322227590837,0.11266602535304156,0.048852025403388066,5.5
6.0,0.1501308758266553,0.9485185185185184,0.157675884200717,0.16388341875318946,0.08996843766596806,220.0,0.09539640151639871,0.9155555555555556,0.10595875960928534,0.11450239979136602,0.04680386262353739,220.0,0.11333333333333333,0.019259259259259257,0.09455010228834379,0.10573109972432955,0.044721418205701816,5.688888888888889
7.0,0.16218921890116406,0.9435802469135803,0.16833743152379932,0.17148329866839254,0.09668849314979044,220.0,0.08978769792216455,0.9176543209876543,0.09985938086424996,0.10480256992332825,0.04470675621087041,220.0,0.01759259259259259,0.014074074074074074,0.08176641679455546,0.0900375865823688,0.03724020623186778,6.144444444444445
8.0,0.13997987696130615,0.9309876543209878,0.14959884266904971,0.15213138090080316,0.08284847501340198,220.0,0.08394635567679057,0.9059259259259259,0.09810249027363087,0.10247292053581843,0.04236395319489525,220.0,0.03538359788359788,0.01876543209876543,0.08203488942688636,0.08808261454386981,0.036641065700874983,5.655555555555556
9.0,0.1819923380498591,0.9390123456790125,0.18475432736914796,0.1898494097348957,0.10232892198038858,220.0,0.11005879061985446,0.9038271604938272,0.11773348414283664,0.1263491472934551,0.05660987440848125,220.0,0.023518518518518515,0.020246913580246915,0.10324704188243836,0.11099834476856897,0.051430471740521684,5.377777777777778
