dataset,seed,n_entities,n_train_events,n_validation,n_test,decay_mrr,decay_hits1,decay_hits3,decay_hits10,baseline_ece,stability_ece,baseline_aurc,stability_aurc,elapsed_seconds,baseline_threshold@0.20,baseline_risk@0.20,baseline_coverage@0.20,baseline_brier@0.20,stability_threshold@0.20,stability_risk@0.20,stability_coverage@0.20,stability_brier@0.20,baseline_threshold@0.40,baseline_risk@0.40,baseline_coverage@0.40,baseline_brier@0.40,stability_threshold@0.40,stability_risk@0.40,stability_coverage@0.40,stability_brier@0.40,baseline_threshold@0.60,baseline_risk@0.60,baseline_coverage@0.60,baseline_brier@0.60,stability_threshold@0.60,stability_risk@0.60,stability_coverage@0.60,stability_brier@0.60,baseline_threshold@0.80,baseline_risk@0.80,baseline_coverage@0.80,baseline_brier@0.80,stability_threshold@0.80,stability_risk@0.80,stability_coverage@0.80,stability_brier@0.80
ICEWS14,0.0,7128.0,72826.0,5000.0,5000.0,0.3866628097228773,0.3216,0.4324,0.5014,0.040762604864177036,0.039702535976666876,0.5546214982595384,0.5301173197874769,24.601091861724854,0.40320956079730785,0.45824847250509165,0.1964,0.2440112965784489,0.46493484488565373,0.40978593272171254,0.1962,0.23544262784501163,0.31972314836243654,0.5591836734693878,0.392,0.23334038779797656,0.3080521781842433,0.498469387755102,0.392,0.24093756418272497,0.2633273250423866,0.5927678269685704,0.5918,0.23069527202846976,0.2526004039665748,0.5892059126847714,0.5818,0.2196115639362795,0.15916537155321456,0.6404926866820632,0.7794,0.215213176427309,0.1940351787628623,0.6415046059365405,0.7816,0.20545259331212898
ICEWS14,1.0,7128.0,72826.0,5000.0,5000.0,0.3866628097228773,0.3216,0.4324,0.5014,0.042137536200031356,0.012727913125455412,0.5576767911469599,0.5296539158299318,45.88951396942139,0.412946956938249,0.46279306829765543,0.1962,0.24421462523161008,0.4752813422296875,0.4091381100726895,0.1926,0.23596437303990675,0.31997863515543556,0.5512348922753547,0.3806,0.23676075095426544,0.2918370135130371,0.5129835718071012,0.3774,0.2346674542678259,0.26751201148877923,0.588091922005571,0.5744,0.23338333353181154,0.2543005155806046,0.5852408609497779,0.5854,0.222789458142184,0.15547696292728258,0.6396004098360656,0.7808,0.21671719027327366,0.1946965366162185,0.6401028277634961,0.778,0.20647431912534014
ICEWS14,2.0,7128.0,72826.0,5000.0,5000.0,0.3866628097228773,0.3216,0.4324,0.5014,0.03982434317645314,0.03670527479441203,0.5594842606185829,0.530782121042555,66.57446074485779,0.43057192174075276,0.472356935014549,0.2062,0.24529655542026937,0.4854807936392698,0.42036290322580644,0.1984,0.23796027800601888,0.34041186231487114,0.5520669806384092,0.3822,0.23817707138474056,0.30822618731036533,0.52,0.385,0.2341107632151823,0.2840598180633891,0.5875486381322957,0.5654,0.23389394826745585,0.2679806429948367,0.5814674474681364,0.5806,0.22488045231910705,0.15849539741640367,0.639607032057911,0.7736,0.21694861863413495,0.18408653109669235,0.6377892030848329,0.778,0.20843104333732643
ICEWS14,3.0,7128.0,72826.0,5000.0,5000.0,0.3866628097228773,0.3216,0.4324,0.5014,0.03836304842312957,0.019182698324873113,0.5576402676772874,0.5297234973813034,87.39131546020508,0.3949752190723844,0.4579831932773109,0.1904,0.2444783969319946,0.4484576995634628,0.4077568134171908,0.1908,0.23517556351106012,0.30998145561879614,0.5439560439560439,0.364,0.23810833512594304,0.2856999951013981,0.5023872679045093,0.377,0.23909834243842729,0.2594853138691116,0.585750089509488,0.5586,0.23393827328848188,0.23520625360227876,0.5825655563430191,0.5644,0.22225206299097056,0.15458998317646908,0.6372420997649517,0.7658,0.21766943631376082,0.17562082077718885,0.6386946386946387,0.7722,0.20688512115200103
ICEWS14,4.0,7128.0,72826.0,5000.0,5000.0,0.3866628097228773,0.3216,0.4324,0.5014,0.041648517260710186,0.03388816705027383,0.5580871678998023,0.5320213888617014,108.2317795753479,0.4393164301500696,0.4608150470219436,0.1914,0.24535831594396032,0.4868580341024524,0.4147368421052632,0.19,0.23705258292467055,0.34125006875515307,0.5494970884065643,0.3778,0.2381933731748597,0.31530770635035876,0.5317796610169492,0.3776,0.22850143377571053,0.28446472386321203,0.5865921787709497,0.5728,0.2341726592876095,0.2764476517364425,0.579785392869505,0.5778,0.2252334258632836,0.16020215035360302,0.6394366197183099,0.781,0.21716870781692804,0.1966069047508433,0.6389031266017426,0.7804,0.20790865150407903
