dataset,seed,n_entities,n_train_events,n_validation,n_test,elapsed_seconds,static_mrr,static_hits1,static_hits10,decay_mrr,decay_hits1,decay_hits10,static_risk@0.20,static_coverage@0.20,static_brier@0.20,static_threshold@0.20,static_stability_threshold@0.20,static_risk@0.40,static_coverage@0.40,static_brier@0.40,static_threshold@0.40,static_stability_threshold@0.40,static_risk@0.60,static_coverage@0.60,static_brier@0.60,static_threshold@0.60,static_stability_threshold@0.60,decay_risk@0.20,decay_coverage@0.20,decay_brier@0.20,decay_threshold@0.20,decay_stability_threshold@0.20,decay_risk@0.40,decay_coverage@0.40,decay_brier@0.40,decay_threshold@0.40,decay_stability_threshold@0.40,decay_risk@0.60,decay_coverage@0.60,decay_brier@0.60,decay_threshold@0.60,decay_stability_threshold@0.60,stability_risk@0.20,stability_coverage@0.20,stability_brier@0.20,stability_threshold@0.20,stability_stability_threshold@0.20,stability_risk@0.40,stability_coverage@0.40,stability_brier@0.40,stability_threshold@0.40,stability_stability_threshold@0.40,stability_risk@0.60,stability_coverage@0.60,stability_brier@0.60,stability_threshold@0.60,stability_stability_threshold@0.60
ICEWS14,0.0,7128.0,72826.0,200.0,200.0,2.15706205368042,0.7677770562770563,0.705,0.965,0.7652770562770563,0.7,0.965,0.0,0.155,0.00041896412145628185,0.9550000000000001,-1.0,0.017241379310344827,0.29,0.01766674799307533,0.91,-1.0,0.010869565217391304,0.46,0.020226725653286443,0.755,-1.0,0.034482758620689655,0.145,0.031129333185593064,0.9299999999999999,-1.0,0.018867924528301886,0.265,0.021607442640259975,0.865,-1.0,0.02247191011235955,0.445,0.03469701253200198,0.7,-1.0,0.034482758620689655,0.145,0.031129333185593064,0.9299999999999999,0.0,0.018867924528301886,0.265,0.021607442640259975,0.865,0.0,0.02197802197802198,0.455,0.035944764286240063,0.5,0.8038461538461539
ICEWS14,1.0,7128.0,72826.0,200.0,200.0,2.597724676132202,0.7808382034632035,0.725,0.975,0.7808382034632035,0.725,0.975,0.0,0.145,0.00040978276696106175,0.9550000000000001,-1.0,0.0,0.285,0.002421667809084185,0.91,-1.0,0.0,0.47,0.011427728038319023,0.755,-1.0,0.0,0.145,0.001229172255292761,0.9299999999999999,-1.0,0.0,0.255,0.005043848878355787,0.865,-1.0,0.011363636363636364,0.44,0.025828590203226465,0.7050000000000001,-1.0,0.0,0.145,0.001229172255292761,0.9299999999999999,0.0,0.0,0.255,0.005043848878355787,0.865,0.0,0.011363636363636364,0.44,0.025828590203226465,0.7050000000000001,0.0
