dataset,seed,n_entities,n_train_events,n_validation,n_test,decay_mrr,decay_hits1,decay_hits3,decay_hits10,baseline_ece,stability_ece,baseline_aurc,stability_aurc,elapsed_seconds,baseline_threshold@0.20,baseline_risk@0.20,baseline_coverage@0.20,baseline_brier@0.20,stability_threshold@0.20,stability_risk@0.20,stability_coverage@0.20,stability_brier@0.20,baseline_threshold@0.40,baseline_risk@0.40,baseline_coverage@0.40,baseline_brier@0.40,stability_threshold@0.40,stability_risk@0.40,stability_coverage@0.40,stability_brier@0.40,baseline_threshold@0.60,baseline_risk@0.60,baseline_coverage@0.60,baseline_brier@0.60,stability_threshold@0.60,stability_risk@0.60,stability_coverage@0.60,stability_brier@0.60,baseline_threshold@0.80,baseline_risk@0.80,baseline_coverage@0.80,baseline_brier@0.80,stability_threshold@0.80,stability_risk@0.80,stability_coverage@0.80,stability_brier@0.80
ICEWS14,0.0,7128.0,72826.0,300.0,300.0,0.37089995845812995,0.31,0.41,0.48,0.09646094639381007,0.08844436079419245,0.6038796971427436,0.5910815857760794,6.647294044494629,0.5300730203543554,0.32,0.08333333333333333,0.2328482622375614,0.549396175347034,0.4444444444444444,0.09,0.24346282680087453,0.4204508296023444,0.5652173913043478,0.23,0.2364435030374224,0.41905857883396425,0.524390243902439,0.2733333333333333,0.24394959592323187,0.3533541971809866,0.6241610738255033,0.49666666666666665,0.22812355987597407,0.35349414146610286,0.6099290780141844,0.47,0.22931352534701738,0.2588411175044844,0.6601941747572816,0.6866666666666666,0.21853667022367526,0.2766761635469237,0.65625,0.64,0.21593738317320713
ICEWS14,1.0,7128.0,72826.0,300.0,300.0,0.37089995845812995,0.31,0.41,0.48,0.055948253207965905,0.06578278350667607,0.5847731244961487,0.5756335686896392,7.6617255210876465,0.5750238676212456,0.34615384615384615,0.08666666666666667,0.2347040416256428,0.5846265081022883,0.34615384615384615,0.08666666666666667,0.22918965724856183,0.41959026785961534,0.5641025641025641,0.26,0.2437931474234673,0.4492722376361791,0.5540540540540541,0.24666666666666667,0.24551358722552702,0.34931603579176057,0.5871559633027523,0.36333333333333334,0.23888688457498902,0.37541524171424806,0.5818181818181818,0.36666666666666664,0.2417879416977537,0.271631217092924,0.6318681318681318,0.6066666666666667,0.22752821510140087,0.24629826075047587,0.6307692307692307,0.65,0.22528061153791193
