seed,static_risk,static_coverage,static_brier,static_ece,static_work,global_decay_risk,global_decay_coverage,global_decay_brier,global_decay_ece,global_decay_work,stability_aware_risk,stability_aware_coverage,stability_aware_brier,stability_aware_ece,stability_aware_work
0.0,0.7121284727114048,0.9672839506172838,0.6931003163977786,0.6964811382991725,220.0,0.7128318565380103,0.9649382716049383,0.6903580244372121,0.6950571665637261,220.0,0.4692063492063492,0.023209876543209874,0.670535173277163,0.6814019166310322,5.655555555555556
1.0,0.6468228495422104,0.9637037037037037,0.632974051089874,0.6339317710584973,220.0,0.6475652584444735,0.9613580246913581,0.6311049249435889,0.6329693942932846,220.0,0.4596296296296296,0.027654320987654316,0.6133180057251066,0.6210956562640277,5.7555555555555555
2.0,0.6694556991241127,0.9671604938271605,0.654432667551646,0.6558515895390364,220.0,0.669999946188452,0.96320987654321,0.6514044468807536,0.6537925095214248,220.0,0.3451322751322751,0.01975308641975309,0.6350808480943719,0.6439694542852921,5.977777777777778
3.0,0.6446330566159083,0.9680246913580248,0.6357248724370722,0.6353773906476593,220.0,0.644712612740343,0.9660493827160493,0.6336338441308473,0.6338285454280144,220.0,0.49820105820105814,0.025555555555555554,0.6141606383165169,0.6201592804708665,5.733333333333333
4.0,0.5888334282699111,0.965679012345679,0.5778291342662202,0.5779665230293212,220.0,0.5895969270403393,0.9629629629629629,0.5758103226291912,0.5762567412521908,220.0,0.41277777777777774,0.019012345679012346,0.563760609317383,0.5686440949339512,5.2555555555555555
5.0,0.5710303730667672,0.9671604938271605,0.5579221734957311,0.5576715262340209,220.0,0.5723823768847778,0.9637037037037037,0.5573577929826786,0.5578018274881941,220.0,0.31486772486772485,0.021481481481481483,0.5474619241754769,0.5518466013192688,5.5
6.0,0.6902013678041748,0.9660493827160493,0.6771261524478305,0.6797690396684726,220.0,0.6895192506609102,0.9618518518518518,0.6738183114262956,0.6772838385762137,220.0,0.4890873015873015,0.027901234567901233,0.6544316089420182,0.6642385349690917,5.688888888888889
7.0,0.6458421179266356,0.9653086419753086,0.6261414648581706,0.6267851938668463,220.0,0.6454226838749648,0.9643209876543211,0.6242348563833708,0.6251170942692914,220.0,0.43407407407407406,0.018148148148148146,0.6109829466234955,0.617467788947897,6.144444444444445
8.0,0.6805031920292968,0.9528395061728395,0.6608770539604839,0.6611683456137112,220.0,0.6803921079871552,0.9471604938271605,0.6582645397404159,0.6587155446489757,220.0,0.4499074074074073,0.02604938271604938,0.6410598128674339,0.6466746477225996,5.655555555555556
9.0,0.6355336897499593,0.9614814814814815,0.6210552710250602,0.6220028811665553,220.0,0.6355936062690726,0.9588888888888889,0.6192249264230191,0.6206368159659476,220.0,0.48055555555555557,0.0282716049382716,0.6057157344343788,0.6124025134281553,5.377777777777778
10.0,0.651150572401458,0.9606172839506172,0.6355734481198739,0.6382114308674339,220.0,0.6511392498891262,0.9569135802469135,0.6332479332838175,0.635815892807153,220.0,0.42348484848484846,0.028765432098765427,0.6209472554276381,0.6279669783868687,5.433333333333334
11.0,0.6673089508342974,0.9683950617283952,0.6528408719551154,0.6550515675763972,220.0,0.6673881491153778,0.965432098765432,0.650938770431676,0.6536361390331167,220.0,0.5801851851851852,0.025432098765432096,0.632932993822894,0.6422393499222214,5.777777777777778
12.0,0.645283433101664,0.9607407407407408,0.6329617167119426,0.6316643436781824,220.0,0.6444966582627766,0.9583950617283951,0.6300957816428514,0.6298488446270881,220.0,0.4214814814814815,0.02382716049382716,0.6102254163485576,0.6149741120726081,6.166666666666667
13.0,0.6785197285950794,0.9690123456790123,0.6664393468742342,0.6698618207776278,220.0,0.6781871933583293,0.9669135802469137,0.6638693196837785,0.6679587216001471,220.0,0.47317460317460314,0.03160493827160493,0.6477564848227251,0.657742686903618,6.366666666666666
14.0,0.6557419609996371,0.9628395061728396,0.6411013738250265,0.6422374433608347,220.0,0.6556867881157268,0.9603703703703704,0.6387285994365313,0.6402612682813615,220.0,0.6040740740740741,0.02148148148148148,0.6232589973303996,0.6293778169766401,5.2444444444444445
15.0,0.6777369245264945,0.9662962962962963,0.6598564079898133,0.6635130239807668,220.0,0.6780481501379416,0.9620987654320987,0.6573613927707858,0.6619587318719242,220.0,0.5666005291005292,0.024074074074074067,0.6388638636760992,0.6495891406617071,5.522222222222222
16.0,0.644680395453406,0.9645679012345678,0.6296750211235177,0.6315788104541323,220.0,0.6441357771930917,0.9595061728395061,0.6263596340655484,0.6295335988427508,220.0,0.4475132275132275,0.021604938271604937,0.6109118224441699,0.6194837705153375,5.366666666666666
17.0,0.6463708639137004,0.9662962962962963,0.6328537399029897,0.6329895538698028,220.0,0.6464516415290775,0.9644444444444444,0.6308048959610955,0.6316293915163259,220.0,0.450079365079365,0.021111111111111112,0.6163426153698439,0.622015585940672,5.122222222222222
18.0,0.6924657012528037,0.9637037037037037,0.6765524199517998,0.6786019195482992,220.0,0.6921033794683519,0.9609876543209875,0.673998774796877,0.6768858455220605,220.0,0.5920105820105821,0.026296296296296293,0.6568523807707929,0.6656729308276603,5.933333333333334
19.0,0.6374238794694111,0.9638271604938271,0.6185264877646287,0.6211047573757716,220.0,0.6381824890878929,0.9588888888888889,0.6160096993868266,0.6194502965040557,220.0,0.4877513227513227,0.0282716049382716,0.6022326207865555,0.6113779408702528,5.833333333333333
