epoch,loss,seconds,nonfinite_gradient_values,validation_mrr
1,8.710675806850867,32.3951922999986,103,
2,6.073896211704717,33.62590650000493,125,0.37669800462606046
3,4.870883877522758,34.96157569999923,123,
4,4.119433617895695,33.70721150000463,137,0.5145030609160259
5,3.743533657437969,33.30497579999792,123,
6,3.4923643448941863,32.51131899999746,123,0.5530627973829718
7,3.2970514666587567,33.442159700003685,123,
8,3.134411675954798,33.660229999994044,123,0.5792558820968152
9,2.9937392486732604,35.15687510000134,123,
10,2.869615440228921,33.49942239999655,123,0.6019695698567358
11,2.75871598448958,33.957460799996625,123,
12,2.6587753629124333,37.734869699997944,123,0.6179811680075753
13,2.5682337867181757,34.95762430000468,123,
14,2.485710887217877,36.41173640001216,123,0.6228341861472868
15,2.4101712355461546,35.143466599998646,123,
16,2.3406824463999443,33.25782810000237,123,0.6274033180351787
17,2.2765859378600246,33.87239250000857,123,
18,2.2171796394081627,33.84332149999682,123,0.6372958832427879
19,2.1619760221438344,33.10794140001235,123,
20,2.1104778069488974,34.71331150000333,123,0.6444208506644682
21,2.0623404396909435,33.660683599999174,123,
22,2.0171869215852913,36.33129590000317,123,0.6507038116174655
23,1.9747469463274776,33.185198799998034,123,
24,1.934753603579606,35.27183420000074,123,0.6574528037366975
