selector,aurc,brier,ece,exact_risk20,threshold20,deployed_risk20,deployed_coverage20,exact_risk40,threshold40,deployed_risk40,deployed_coverage40,dataset,model,seed,checkpoint_epoch,mrr,hits1,hits3,hits10
temperature,0.3804103850186716,0.18897783549332345,0.027061026093805198,0.23399999999999999,0.5660540786559054,0.28194444444444444,0.288,0.35450000000000004,0.29005404325842743,0.44121667805878334,0.5852,ICEWS05-15,TeRDy,0,8,0.5355244644788266,0.4328978622327791,0.5898653998416469,0.733174980205859
Calibrated score,0.38009268038350386,0.18791816661362437,0.01902227181983749,0.23299999999999998,0.5544945613251475,0.28737201365187715,0.293,0.354,0.2816074533759935,0.43805309734513276,0.5876,ICEWS05-15,TeRDy,0,8,0.5355244644788266,0.4328978622327791,0.5898653998416469,0.733174980205859
Entropy,0.398300742525698,0.2011687317031086,0.04470831664298854,0.264,0.4619480731544948,0.37248995983935745,0.3984,0.37250000000000005,0.22643305973049518,0.5075134675361497,0.7054,ICEWS05-15,TeRDy,0,8,0.5355244644788266,0.4328978622327791,0.5898653998416469,0.733174980205859
StableKG,0.37161569187655574,0.1834640861010157,0.022271079259884145,0.22099999999999997,0.5548862380945235,0.2758384668035592,0.2922,0.34099999999999997,0.2819147071834921,0.42112578179291177,0.5756,ICEWS05-15,TeRDy,0,8,0.5355244644788266,0.4328978622327791,0.5898653998416469,0.733174980205859
