epoch,loss,seconds,nonfinite_gradient_values,validation_mrr
1,8.717437644521798,31.269959500001278,0,
2,6.086705266917249,34.770145499991486,0,0.376746561312438
3,4.874210821768114,31.97275279999303,2,
4,4.119201737922314,31.818239700005506,0,0.514315477919463
5,3.7410195984463717,33.86823329998879,0,
6,3.487052725410324,32.41686189999746,0,0.5542973969459186
7,3.2891708107362594,32.513441000002786,0,
8,3.1247692345473066,32.22482070000842,0,0.5858513293062811
9,2.983263495454593,32.956313400005456,0,
10,2.8587305814414044,35.174362900012056,0,0.6018927351949841
11,2.7477694523763505,33.126538500000606,0,
12,2.6479890986885843,32.4654440000013,0,0.6131813996947045
13,2.557632877124143,34.79963249999855,0,
14,2.4753834086564392,34.37249690000317,0,0.6211193585727138
15,2.4000841177173946,33.69610419998935,0,
16,2.3308718667362296,32.38205149999703,0,0.6302234227738773
17,2.26697033786433,32.8376561000041,0,
18,2.2077792899830033,32.46075459998974,0,0.635501916995995
19,2.152747972387867,32.75344949999999,0,
20,2.1014267378937284,33.90335319998849,0,0.639447151650576
21,2.0534676240956204,32.609152900011395,0,
22,2.0084640037153965,33.47414440001012,0,0.6459118974557116
23,1.9661490018740448,31.71467339999799,0,
24,1.92627686497246,31.923525400008657,0,0.6519626917843939
