dataset,contrast,delta_aurc,ci_low,ci_high
ICEWS05-15,full_original - matched_base,-0.03527908500699212,-0.043086289253150445,-0.0270479924157089
ICEWS05-15,full_original - base_plus_z,-0.0035422868493560355,-0.006122008002719266,-0.0010628580318065067
ICEWS05-15,full_original - base_plus_fd,-0.011571308069696529,-0.016658178890542993,-0.0068251855244049605
ICEWS05-15,full_original - without_diversity,-0.003162810449766962,-0.005943392726051942,-0.0003685697510619532
ICEWS05-15,full_original - without_fragility,-0.0018965277646574297,-0.0035582531307713746,-0.0002894367572093918
ICEWS05-15,full_original - nonredundant,-7.280454231456401e-05,-0.000577596654346639,0.00037433811321751776
ICEWS05-15,full_original - base_plus_softmax_entropy,-0.02725862727816103,-0.034168522405307045,-0.020123927565198787
