dataset,contrast,delta_aurc,ci_low,ci_high
ICEWS14,full_original - matched_base,-0.036500471590240946,-0.04501428466374178,-0.02844188831129753
ICEWS14,full_original - base_plus_z,-2.974676456035663e-05,-0.0036862367936008472,0.004011888657864641
ICEWS14,full_original - base_plus_fd,-0.013538701296365807,-0.01728476780444322,-0.009568997601334032
ICEWS14,full_original - without_diversity,-0.0005950746786653749,-0.0038594389161297564,0.0031802378979364603
ICEWS14,full_original - without_fragility,0.001197299709150501,-0.0004891392099856424,0.002985504414210235
ICEWS14,full_original - nonredundant,0.001068957104133239,0.0005151784551119115,0.0017100141900046383
ICEWS14,full_original - base_plus_softmax_entropy,-0.0306008506719625,-0.03860074565483948,-0.02301497960753361
