dataset,edit,delta_auroc_c_minus_z,ci_low,ci_high
ICEWS14,event,0.21901382944299808,0.19935848531472106,0.23897176265153758
ICEWS14,window,0.305758003172522,0.2847076135136043,0.3296149871081729
ICEWS14,counter,0.22340031869395116,0.20767075687276434,0.24085143434492315
ICEWS05-15,event,0.2780511483529674,0.26201459879446304,0.29338593779553473
ICEWS05-15,window,0.3234575032591097,0.30855177746290996,0.33759396829600957
ICEWS05-15,counter,0.32991918117037766,0.31395602022979174,0.34642047777963236
GDELT,event,-0.09123558672124066,-0.11116031292288953,-0.07094675352471229
GDELT,window,0.0963190026695393,0.082384918726619,0.11449761838792094
GDELT,counter,-0.06758028066248367,-0.0880882974011696,-0.047419139242542964
