selector,aurc,mrr,hits1,hits3,hits10,neural_mrr,neural_hits1,neural_hits3,neural_hits10,brier,ece,risk20,worst_flip1_20,random_flip2_20,shifted_flip_20,wide_flip_20,event_flip_20,deployed_coverage20,deployed_risk20,risk40,worst_flip1_40,random_flip2_40,shifted_flip_40,wide_flip_40,event_flip_40,deployed_coverage40,deployed_risk40,certified_coverage,seed,model,dataset
max_probability,0.2292038743563163,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,0.1902144918908184,0.0729974796094834,0.0929999999999999,0.0,0.0,0.0,0.0,0.0,0.2502,0.1135091926458833,0.1845,0.0,0.0,0.0,0.0,0.0,0.5148,0.2385392385392385,,0,TeRDy,ICEWS05-15
candidate_probability,0.2292342564255764,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,0.1907486384847639,0.0755681962787087,0.0929999999999999,0.0,0.0,0.0,0.0,0.0,0.2502,0.1135091926458833,0.1845,0.0,0.0,0.0,0.0,0.0,0.5146,0.2382432957636999,,0,TeRDy,ICEWS05-15
neural_margin,0.23237516301369,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,,,0.0929999999999999,0.0,0.0,0.0,0.0,0.0,0.2372,0.1070826306913996,0.187,0.0,0.0,0.0,0.0,0.0,0.4994,0.2386864237084501,,0,TeRDy,ICEWS05-15
negative_entropy,0.2415545739488999,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,,,0.1159999999999999,0.001,0.0,0.001,0.001,0.001,0.2902,0.1543762922122674,0.2005,0.006,0.0014375,0.005,0.006,0.0035,0.599,0.287813021702838,,0,TeRDy,ICEWS05-15
hybrid_max,0.2283668266203321,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,0.1901597226435606,0.0812662253707289,0.0899999999999999,0.0,0.0,0.0,0.0,0.0,0.245,0.1044897959183673,0.181,0.0,0.0,0.0,0.0,0.0,0.5046,0.2350376535869995,,0,TeRDy,ICEWS05-15
hybrid_margin,0.2308158256009604,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,,,0.0909999999999999,0.0,0.0,0.0,0.0,0.0,0.2334,0.106255355612682,0.187,0.0,0.0,0.0,0.0,0.0,0.4954,0.2325393621316108,,0,TeRDy,ICEWS05-15
Probability calibration,0.2283668266203321,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,0.1845549454901364,0.0349253149962619,0.0899999999999999,0.0,0.0,0.0,0.0,0.0,0.245,0.1044897959183673,0.181,0.0,0.0,0.0,0.0,0.0,0.5046,0.2350376535869995,,0,TeRDy,ICEWS05-15
Score calibration,0.228672991664706,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,0.1853423654660447,0.0355271964799147,0.0909999999999999,0.0,0.0,0.0,0.0,0.0,0.2478,0.1129943502824858,0.185,0.0,0.0,0.0,0.0,0.0,0.5206,0.2408759124087591,,0,TeRDy,ICEWS05-15
Evidence calibration,0.2289974897789707,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,0.1850850031936534,0.0341608422883274,0.0929999999999999,0.0,0.0,0.0,0.0,0.0,0.2598,0.1170130869899923,0.181,0.0,0.0,0.0,0.0,0.0,0.5148,0.2389277389277389,,0,TeRDy,ICEWS05-15
Certificate calibration,0.2301805261502656,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,0.185112399823558,0.0309786209013491,0.0889999999999999,0.0,0.0,0.0,0.0,0.0,0.2516,0.1168521462639109,0.185,0.0,0.0,0.0,0.0,0.0,0.5116,0.2365129007036747,,0,TeRDy,ICEWS05-15
Ensemble calibration,0.2262982821784909,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,0.18382009852392,0.0343535380478622,0.0879999999999999,0.0,0.0,0.0,0.0,0.0,0.258,0.1162790697674418,0.1825,0.0,0.0,0.0,0.0,0.0,0.5176,0.2345440494590417,,0,TeRDy,ICEWS05-15
ensemble_probability,0.2249526485229292,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,0.1905842703724886,0.0943634471725705,0.0899999999999999,0.0,0.0,0.0,0.0,0.0,0.2528,0.1131329113924051,0.175,0.001,0.0001875,0.001,0.001,0.0005,0.5056,0.2246835443037974,,0,TeRDy,ICEWS05-15
Temperature scaling,0.2289961092906383,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,0.1877948180828338,0.0545769136518599,0.0899999999999999,0.0,0.0,0.0,0.0,0.0,0.2474,0.1115602263540824,0.1875,0.0,0.0,0.0,0.0,0.0,0.5098,0.2357787367595135,,0,TeRDy,ICEWS05-15
Certified 1-window,,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,,,0.0899999999999999,0.0,0.0,0.0,0.0,0.0,0.245,0.1044897959183673,0.181,0.0,0.0,0.0,0.0,0.0,0.5038,0.2350138944025407,0.9348,0,TeRDy,ICEWS05-15
Certified 2-window,,0.6433523718494054,0.5484956452889944,0.7026920031670626,0.8196753760886778,0.6364425761281394,0.5409738717339667,0.694972288202692,0.8123515439429929,,,0.0899999999999999,0.0,0.0,0.0,0.0,0.0,0.245,0.1044897959183673,0.181,0.0,0.0,0.0,0.0,0.0,0.5032,0.2341017488076311,0.9128,0,TeRDy,ICEWS05-15
max_probability,0.242031258912619,0.6287781904556431,0.5300870942201108,0.6874505146476643,0.814528899445764,0.6235271784136616,0.5243467933491687,0.6826999208234362,0.806215360253365,0.187594435651581,0.0613443683529036,0.1069999999999999,0.0,0.0,0.0,0.0,0.0,0.2616,0.1337920489296635,0.1945,0.0,0.0,0.0,0.0,0.0,0.5098,0.2499019223224794,,1,TeRDy,ICEWS05-15
candidate_probability,0.2420237904242388,0.6287781904556431,0.5300870942201108,0.6874505146476643,0.814528899445764,0.6235271784136616,0.5243467933491687,0.6826999208234362,0.806215360253365,0.1879756005943803,0.0638008718919325,0.1069999999999999,0.0,0.0,0.0,0.0,0.0,0.2616,0.1337920489296635,0.1945,0.0,0.0,0.0,0.0,0.0,0.5096,0.25,,1,TeRDy,ICEWS05-15
