selector,aurc,mrr,hits1,hits3,hits10,neural_mrr,neural_hits1,neural_hits3,neural_hits10,brier,ece,risk20,worst_flip1_20,random_flip2_20,shifted_flip_20,wide_flip_20,event_flip_20,deployed_coverage20,deployed_risk20,risk40,worst_flip1_40,random_flip2_40,shifted_flip_40,wide_flip_40,event_flip_40,deployed_coverage40,deployed_risk40,certified_coverage,seed,model,dataset
max_probability,0.6117125220265781,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,0.293789312879787,0.2579790481823967,0.593,0.431,0.180125,0.433,0.465,0.346,0.5774,0.624177346726706,0.6234999999999999,0.483,0.22075,0.4865,0.5105,0.3965,0.7416,0.6235167206040992,,0,TemporalComplEx,ICEWS14
candidate_probability,0.5390758142504906,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,0.2996608998775696,0.2877069725622764,0.483,0.221,0.082125,0.236,0.256,0.174,0.4096,0.49755859375,0.496,0.272,0.118875,0.2775,0.2955,0.2165,0.5914,0.5478525532634426,,0,TemporalComplEx,ICEWS14
neural_margin,0.5982654857195902,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,,,0.5840000000000001,0.418,0.188,0.423,0.45,0.35,0.483,0.6004140786749482,0.5994999999999999,0.4675,0.2255,0.4705,0.494,0.3875,0.6774,0.6046648951874816,,0,TemporalComplEx,ICEWS14
negative_entropy,0.6377020383966672,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,,,0.638,0.467,0.18425,0.472,0.505,0.367,0.6064,0.6497361477572559,0.648,0.5085,0.22775,0.513,0.537,0.4185,0.7582,0.6465312582432077,,0,TemporalComplEx,ICEWS14
hybrid_max,0.5191196359195185,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,0.2270018437679773,0.1257886614009443,0.471,0.521,0.57575,0.53,0.536,0.474,0.1686,0.4863582443653618,0.5,0.4795,0.4303125,0.4895,0.497,0.4255,0.542,0.5527675276752768,,0,TemporalComplEx,ICEWS14
hybrid_margin,0.5133862294768791,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,,,0.477,0.526,0.5785,0.536,0.54,0.478,0.155,0.472258064516129,0.4995,0.44,0.4024375,0.4475,0.4615,0.377,0.6064,0.5771767810026385,,0,TemporalComplEx,ICEWS14
Probability calibration,0.5191196359195185,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,0.20634989351462,0.0285797038267837,0.471,0.521,0.57575,0.53,0.536,0.474,0.1686,0.4863582443653618,0.5,0.4795,0.4303125,0.4895,0.497,0.4255,0.542,0.5527675276752768,,0,TemporalComplEx,ICEWS14
Score calibration,0.5036010240313437,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,0.2006221984899485,0.0291363137128021,0.407,0.37,0.394,0.377,0.381,0.341,0.2014,0.407149950347567,0.4955,0.4435,0.4039375,0.451,0.4665,0.391,0.5354,0.5480014942099365,,0,TemporalComplEx,ICEWS14
Evidence calibration,0.4644210626552312,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,0.1854553886159688,0.0312754016338626,0.301,0.06,0.072,0.084,0.089,0.039,0.309,0.397411003236246,0.4705,0.382,0.31475,0.388,0.4055,0.3235,0.5798,0.5529492928596067,,0,TemporalComplEx,ICEWS14
Certificate calibration,0.4613116843995154,0.4287596571054025,0.3351789598576231,0.4753806604706347,0.6149891239865533,0.3635697028492188,0.2633972711093533,0.4089381055962033,0.5687166304132885,0.1842616165410766,0.0281611002489328,0.305,0.002,0.051625,0.034,0.025,0.01,0.3214,0.4156813939016801,0.4669999999999999,0.333,0.2899375,0.3505,0.36,0.2955,0.564,0.5471631205673759,,0,TemporalComplEx,ICEWS14
