epoch,loss,seconds,nonfinite_gradient_values,validation_mrr
1,7.542974554126895,60.61609189999581,57,
2,4.773628148342997,15.511098899994977,40,
3,3.3258212192362437,14.738800999999512,50,0.5810962299568585
4,2.4029324819021993,14.525128199995379,36,
5,1.8467366977573845,14.826261300011538,36,
6,1.549275007580675,14.905691299994942,36,0.6609716785716994
7,1.387646819154285,15.010263899996062,36,
8,1.292332403354636,15.24903710000217,36,
9,1.2304230321161769,15.300126100002672,36,0.6848506041009401
10,1.1876990823650395,15.149957600006019,36,
11,1.1558385449548216,15.309836699991138,36,
12,1.1314323934298596,15.200146199989831,36,0.6879789803329364
13,1.111962488033298,15.174016599994502,36,
14,1.0958875585852297,15.054895900000702,36,
15,1.082296148618176,15.084763199993176,36,0.6930025670972207
16,1.0708015779188758,14.954474199999822,36,
17,1.060515781902224,15.09998590000032,36,
18,1.0516446264666268,14.930161700001918,36,0.6988159716122598
19,1.0436813773186457,15.197909100010293,36,
20,1.0365246464975473,15.317571899999166,36,
21,1.0299794614467266,15.164736699996865,36,0.7013367974142615
22,1.0239899606728022,15.165274500002852,36,
23,1.018445416745196,14.998947100000805,36,
24,1.013497744043163,15.2573662000068,36,0.7016599260571864
25,1.008758703862138,15.072611299998243,36,
26,1.0044089303002126,15.260690099996282,36,
27,1.0002989807318263,15.243512799992459,36,0.7026742988187773
28,0.9964473576709799,14.977083799996763,36,
29,0.9928523504334307,15.267680799996015,36,
30,0.9894203835490561,15.228345299998182,36,0.7066255091631737
31,0.9862303027140784,15.444799199991394,36,
32,0.9831793251883026,15.25671180000063,36,
33,0.9802788534877596,15.452352499996778,36,0.7076181772307824
34,0.9774886953081998,15.280787099996815,36,
35,0.9748521185849718,15.41186999999627,36,
36,0.9723922076635293,15.40575639999588,36,0.7071438339937652
