dataset,seed,n_entities,n_relations,n_times,n_train_quadruples_reciprocal,epochs,dimension,validation_mrr,test_mrr,test_hits1,test_hits3,test_hits10,baseline_brier,stability_brier,baseline_ece,stability_ece,baseline_aurc,stability_aurc,elapsed_seconds,baseline_threshold@0.20,baseline_risk@0.20,baseline_coverage@0.20,stability_threshold@0.20,stability_risk@0.20,stability_coverage@0.20,baseline_threshold@0.40,baseline_risk@0.40,baseline_coverage@0.40,stability_threshold@0.40,stability_risk@0.40,stability_coverage@0.40,baseline_threshold@0.60,baseline_risk@0.60,baseline_coverage@0.60,stability_threshold@0.60,stability_risk@0.60,stability_coverage@0.60,baseline_threshold@0.80,baseline_risk@0.80,baseline_coverage@0.80,stability_threshold@0.80,stability_risk@0.80,stability_coverage@0.80
ICEWS05-15,0,10488,251,4017,737924,30,96,0.45660731703399243,0.45488227531229203,0.3256136183689628,0.5249406175771971,0.7203087885985748,0.1958760870573399,0.16287168627756465,0.02395756095033788,0.024601962009859545,0.5520803532338394,0.4706443287153352,16.818298499987577,0.4373809589178,0.4577114427860697,0.201,0.581471697204895,0.28525980911983034,0.1886,0.3341676597212491,0.541316180108857,0.4042,0.25648478987866324,0.4423171330387825,0.4074,0.2554392719865145,0.6076822061720288,0.6092,0.17771604470049202,0.5595394736842105,0.608,0.1822467955593365,0.6542124542124542,0.819,0.12973767536529138,0.635870904163587,0.8118
ICEWS05-15,1,10488,251,4017,737924,30,96,0.4654188375909605,0.45517687507294374,0.3248218527315915,0.5197941409342834,0.723673792557403,0.19368498553550806,0.16390102195109965,0.022892916814811936,0.027860410399667954,0.5397115794783977,0.4709018434449491,16.594289700005902,0.43205716393763133,0.4129979035639413,0.1908,0.6080001887059859,0.2850877192982456,0.1824,0.33674305293455037,0.5402357765248591,0.3902,0.25503787830732905,0.43864097363083165,0.3944,0.27029544480670065,0.5982081323225362,0.5804,0.18613950137882346,0.542016806722689,0.5712,0.19811091089709093,0.6462204123186561,0.7858,0.1451209213064502,0.6257477243172952,0.769
ICEWS05-15,2,10488,251,4017,737924,30,96,0.4655846203738586,0.45370440635831105,0.3256136183689628,0.5146476642913698,0.7288202692003167,0.1921164023876717,0.1615952075783118,0.025955604046130874,0.015506970852446116,0.5393879732298,0.4688882796823671,16.522909999999683,0.4312247197334473,0.43320610687022904,0.2096,0.5594318061904064,0.281947261663286,0.1972,0.3358696840701822,0.5329724409448819,0.4064,0.26261992681901825,0.4317708333333333,0.384,0.26290487953271297,0.5971418849948962,0.5878,0.1865395270940862,0.5495251017639078,0.5896,0.17863670935443696,0.6439565985364623,0.7926,0.130999121745216,0.6331834082958521,0.8004
